Working Since (Date),Gender,Work Type,Pay Grade,Current Resources,Mental Fatigue Score,Burn Rate,Employee Position
2019-06-02,Female,Organised,2,5,0,0.5,Cook
2019-05-21,Male,Organised,2,10,7.3,0.05,Maintenance Staff
2024-09-12,Male,Unorganised,4,3,3,0.19,Security Guard
2018-04-09,Female,Unorganised,1,3,0,0.41,Cleaner
2020-06-14,Male,Organised,4,7,7.5,0.52,Janitor
2022-07-26,Female,Organised,1,7,6,0.16,Cleaner
2022-07-23,Female,Organised,3,2,6.2,0.15,Maintenance Staff
2019-11-08,Male,Unorganised,0,7,6.2,0.05,Cook
2020-05-20,Male,Organised,3,3,4.7,0.4,Security Guard
2020-11-03,Male,Organised,1,1,9.1,0.52,Housekeeping Manager
2021-09-28,Male,Organised,1,8,4,0.81,Janitor
2024-10-16,Female,Organised,3,2,5.9,0.11,Laundry Attendant
2020-12-27,Female,Organised,1,4,7.6,0.15,Housekeeping Manager
2021-05-31,Female,Organised,1,8,4,0.52,Laundry Attendant
2019-04-15,Male,Organised,1,5,7.5,0.76,Housekeeper
2019-05-06,Male,Unorganised,4,2,6.6,0.05,Maintenance Staff
2018-08-23,Male,Unorganised,4,1,6.3,0.5,Laundry Attendant
2020-11-07,Male,Unorganised,4,7,6.8,0.42,Laundry Attendant
2024-10-22,Male,Organised,2,2,8.7,0.05,Housekeeping Manager
2018-04-29,Female,Organised,2,8,5.6,0.35,Kitchen Helper
2021-03-10,Female,Organised,4,2,6.7,0.32,Housekeeping Manager
2024-10-05,Female,Organised,1,6,3.9,0.47,Laundry Attendant
2021-08-01,Male,Organised,3,1,3.1,0.76,Kitchen Helper
2018-06-22,Male,Unorganised,3,10,4,0.46,Kitchen Helper
2021-06-30,Male,Organised,0,3,10,0.15,Kitchen Helper
2023-08-26,Female,Unorganised,2,4,2,0.04,Housekeeping Manager
2019-04-05,Female,Organised,3,1,6.7,0.37,Maintenance Staff
2021-07-13,Female,Organised,0,1,3.8,0.85,Cleaner
2018-04-02,Female,Unorganised,0,8,6.8,0.38,Cleaner
2023-06-27,Male,Unorganised,3,4,6.5,0.15,Housekeeping Manager
2020-11-23,Male,Organised,2,1,4.3,0.44,Cleaner
2023-08-17,Male,Organised,4,10,4.9,0.15,Housekeeper
2021-03-07,Female,Organised,2,9,9.2,0.35,Maintenance Staff
2021-01-23,Female,Organised,3,2,2.6,0.61,Housekeeping Manager
2018-11-16,Male,Organised,1,10,5.6,0.65,Laundry Attendant
2020-01-07,Male,Unorganised,0,8,7.3,0.94,Kitchen Helper
2020-12-18,Male,Unorganised,0,4,5.9,0.32,Cleaner
2022-11-05,Male,Unorganised,1,7,7.6,0.49,Cleaner
2021-06-04,Female,Unorganised,2,2,9.2,0.15,Cleaner
2021-11-17,Female,Organised,0,3,9.1,0.27,Kitchen Helper
2019-10-09,Male,Unorganised,3,2,5.6,0.68,Maintenance Staff
2018-06-23,Male,Organised,3,4,9.2,0.4,Laundry Attendant
2022-06-13,Male,Unorganised,1,7,4,0.51,Cleaner
2019-10-28,Male,Unorganised,4,9,5.8,0.38,Kitchen Helper
2024-10-19,Female,Organised,3,1,7.3,0.6,Kitchen Helper
2020-08-03,Female,Unorganised,1,2,7.6,0.26,Housekeeper
2021-04-14,Male,Organised,0,1,6.6,0.57,Housekeeper
2022-08-01,Female,Organised,2,5,6.9,0.22,Laundry Attendant
2023-10-14,Female,Organised,2,7,6.8,0.51,Housekeeper
2018-08-28,Female,Unorganised,2,2,5,0.55,Housekeeper
2024-12-28,Female,Unorganised,0,6,0,0.12,Housekeeper
2018-12-13,Female,Unorganised,2,3,7.4,0.28,Housekeeper
2020-12-06,Female,Organised,3,5,5,0.29,Maintenance Staff
2020-05-23,Male,Unorganised,0,9,3.6,0.11,Maintenance Staff
2022-07-08,Female,Organised,1,10,5.5,0.11,Cleaner
2021-09-28,Male,Organised,4,4,3.6,0.71,Cook
2024-06-08,Male,Organised,1,2,7.9,0.66,Cleaner
2021-10-23,Female,Organised,0,7,3.6,0.66,Laundry Attendant
2024-08-30,Male,Unorganised,2,5,4.4,0.41,Janitor
2018-06-30,Male,Unorganised,1,10,6,0.39,Housekeeper
2019-02-21,Male,Unorganised,3,2,9.2,0.71,Security Guard
2022-12-20,Male,Unorganised,0,9,5.9,0.76,Kitchen Helper
2023-05-09,Female,Organised,4,3,7.4,0.43,Cleaner
2022-10-11,Female,Unorganised,4,9,10,0.94,Housekeeping Manager
2024-06-22,Male,Unorganised,0,10,8,0.19,Housekeeping Manager
2021-11-26,Male,Unorganised,1,10,7.6,0.53,Maintenance Staff
2022-04-16,Male,Organised,3,5,0.8,0.04,Security Guard
2023-07-26,Male,Unorganised,1,3,1.8,0.37,Cleaner
2021-09-16,Female,Organised,1,8,9.1,0.53,Maintenance Staff
2021-01-15,Male,Organised,1,8,7.3,0.79,Housekeeper
2024-06-12,Male,Unorganised,4,5,8.2,0.41,Cleaner
2022-02-01,Female,Organised,0,6,5.7,0.63,Janitor
2018-02-18,Male,Organised,2,5,5.8,0.27,Kitchen Helper
2024-08-10,Female,Organised,3,9,5.5,0.65,Janitor
2019-02-25,Female,Organised,0,8,6.6,0.11,Kitchen Helper
2020-06-23,Female,Unorganised,1,10,8.3,0.41,Cleaner
2019-01-05,Male,Organised,1,9,6.7,0.71,Cleaner
2021-01-05,Male,Unorganised,0,6,0.8,0.41,Janitor
2020-12-28,Male,Unorganised,0,10,7.9,0.04,Cleaner
2020-06-02,Male,Organised,4,8,6.9,0.8,Maintenance Staff
2019-09-06,Male,Organised,0,6,6.2,0.6,Housekeeping Manager
2019-04-14,Male,Organised,4,1,7.7,0.19,Cleaner
2023-12-23,Male,Organised,0,3,4,0.61,Housekeeping Manager
2020-08-30,Male,Organised,3,8,8.7,0.51,Janitor
2024-01-22,Female,Unorganised,2,10,8.7,0.47,Cook
2023-04-16,Female,Unorganised,0,4,8.2,0.11,Janitor
2020-11-07,Female,Organised,2,1,6.7,0.29,Laundry Attendant
2022-10-07,Male,Organised,2,3,7.3,0.5,Kitchen Helper
2023-04-16,Male,Organised,1,10,5.1,0.63,Security Guard
2018-09-10,Female,Organised,4,3,5.8,0.66,Kitchen Helper
2020-01-20,Male,Unorganised,2,7,5.6,0.72,Housekeeping Manager
2022-02-01,Male,Unorganised,2,1,1.8,0.5,Housekeeper
2019-03-30,Female,Organised,2,7,7.3,0.7,Housekeeper
2022-04-03,Female,Organised,0,4,0,0.18,Housekeeping Manager
2021-11-13,Male,Unorganised,0,6,7.6,0.72,Cook
2019-01-29,Male,Unorganised,4,7,7.5,0.35,Housekeeper
2021-10-22,Female,Unorganised,3,1,9.1,0.36,Security Guard
2020-09-26,Male,Unorganised,1,9,5.9,0.68,Janitor
2020-08-11,Male,Organised,1,3,3.1,0.2,Janitor
2024-06-04,Female,Unorganised,0,10,1.8,0.5,Kitchen Helper
2023-02-01,Female,Unorganised,3,3,6.9,0.39,Cleaner
2024-04-06,Female,Unorganised,0,2,8.2,0.12,Housekeeping Manager
2020-01-08,Male,Unorganised,2,1,6.6,0.37,Janitor
2018-01-10,Female,Organised,3,2,9.2,0.91,Cook
2024-01-26,Female,Unorganised,3,4,7.6,0.49,Maintenance Staff
2021-04-09,Female,Unorganised,0,1,4.3,0.04,Laundry Attendant
2021-11-27,Male,Unorganised,2,8,1.8,0.31,Security Guard
2022-05-20,Female,Organised,3,2,2.9,0.61,Housekeeper
2020-07-05,Female,Organised,0,3,4.4,0.72,Housekeeper
