Emp ID,Working Since (Date),Gender,Work Type,Pay Grade,Current Resources,Mental Fatigue Score,Burn Rate,Employee Position
EMP001,2018-07-02,Male,Organised,0,9,2,2,Housekeeping Manager
EMP002,2019-11-21,Female,Unorganised,3,4,8,2,Housekeeper
EMP003,2021-08-15,Male,Unorganised,2,5,7,5,Cleaner
EMP004,2023-06-25,Male,Unorganised,4,6,2,7,Maintenance Staff
EMP005,2021-01-07,Male,Unorganised,0,5,1,3,Housekeeping Manager
EMP006,2017-04-09,Male,Organised,3,3,1,6,Laundry Attendant
EMP007,2018-11-13,Male,Organised,0,7,1,6,Housekeeper
EMP008,2018-08-09,Male,Unorganised,2,7,5,7,Janitor
EMP009,2023-10-28,Female,Unorganised,3,3,6,7,Janitor
EMP010,2021-06-12,Female,Organised,0,7,8,7,Janitor
EMP011,2018-08-17,Male,Unorganised,2,3,6,2,Security Guard
EMP012,2022-03-07,Male,Organised,1,1,4,1,Janitor
EMP013,2020-01-06,Male,Organised,4,7,8,5,Maintenance Staff
EMP014,2023-11-07,Male,Unorganised,1,10,6,1,Cook
EMP015,2021-03-10,Male,Unorganised,2,2,3,5,Security Guard
EMP016,2022-04-22,Female,Unorganised,2,8,6,3,Cleaner
EMP017,2019-03-27,Female,Organised,2,6,7,8,Laundry Attendant
EMP018,2022-04-11,Female,Unorganised,1,9,4,3,Kitchen Helper
EMP019,2022-10-25,Male,Organised,0,4,2,7,Cleaner
EMP020,2017-09-10,Male,Organised,0,10,4,3,Cook
EMP021,2021-02-18,Male,Unorganised,2,8,1,4,Laundry Attendant
EMP022,2017-06-28,Male,Unorganised,1,8,7,1,Maintenance Staff
EMP023,2022-10-22,Male,Unorganised,2,5,5,3,Security Guard
EMP024,2020-07-04,Male,Unorganised,0,3,8,4,Security Guard
EMP025,2019-09-14,Male,Organised,2,6,3,8,Maintenance Staff
EMP026,2017-02-12,Female,Organised,1,4,8,5,Maintenance Staff
EMP027,2020-05-19,Female,Unorganised,4,8,2,7,Cook
EMP028,2017-08-19,Male,Unorganised,3,6,3,2,Housekeeping Manager
EMP029,2022-04-24,Male,Organised,2,10,2,3,Security Guard
